Id,Bulding_num,Start_date,End_date,Working_days,Workers_num,Floors_num,Flats_num,flat_cost,flat_sale_price
1,b1,1/10/2021,15/11/2021,15,51,5,15,1200000,1800000
2,b2,4/10/2021,24/10/2021,21,43,6,12,1700000,2400000
3,b3,7/10/2021,5/11/2021,27,37,5,15,1200000,1800000
4,b4,10/10/2021,22/11/2021,21,40,6,12,1700000,2400000
5,b5,13/10/2021,30/11/2021,27,35,5,15,1200000,1800000
6,b6,16/10/2021,20/11/2021,30,21,6,12,1700000,2400000
7,b7,19/10/2021,5/12/2021,16,49,5,15,1200000,1800000
8,b8,22/10/2021,10/12/2021,35,17,5,15,1200000,1800000
9,b9,25/10/2021,20/12/2021,31,20,5,15,1200000,1800000
10,b10,28/10/2021,30/11/2021,29,27,6,12,1700000,2400000
11,b11,10/11/2021,10/12/2021,28,29,6,12,1700000,2400000
12,b12,15/11/2021,17/12/2021,27,23,5,15,1200000,1800000
13,b13,21/11/2021,25/12/2021,23,32,5,15,1200000,1800000
14,b14,28/11/2021,29/12/2021,25,29,5,15,1200000,1800000
15,b15,30/11/2021,28/1/2022,36,19,6,12,1700000,2400000
16,b16,5/12/22021,7/1/2022,25,30,6,12,1700000,2400000
17,b17,11/12/2021,10/1/2022,26,29,5,15,1200000,1800000
18,b18,17/12/2021,22/1/2022,24,39,5,15,1200000,1800000
19,b19,19/12/2022,14/1/2022,19,41,6,12,1700000,2400000
20,b20,27/12/2022,25/2/2022,31,27,5,15,1200000,1800000
